Patch,Substrate,Number_shoot,Shoots_m2
1,Posidonia,38,608
1,Posidonia,52,832
9,Posidonia,63,1008
9,Posidonia,56,896
12,Posidonia,47,752
12,Posidonia,59,944
10,Posidonia,66,1056
10,Posidonia,63,1008
13,Posidonia,71,1136
13,Posidonia,60,960
1,Posidonia_Chondrilla,27,432
1,Posidonia_Chondrilla,35,560
9,Posidonia_Chondrilla,41,656
9,Posidonia_Chondrilla,23,368
12,Posidonia_Chondrilla,33,528
12,Posidonia_Chondrilla,43,688
10,Posidonia_Chondrilla,51,816
10,Posidonia_Chondrilla,56,896
13,Posidonia_Chondrilla,20,320
13,Posidonia_Chondrilla,15,240
1,Posidonia,48,768
1,Posidonia,58,928
1,Posidonia_Chondrilla,37,592
1,Posidonia_Chondrilla,32,512
12,Posidonia,61,976
12,Posidonia,54,864
12,Posidonia_Chondrilla,36,576
12,Posidonia_Chondrilla,30,480
8,Posidonia,62,992
8,Posidonia,51,816
8,Posidonia_Chondrilla,26,416
8,Posidonia_Chondrilla,47,752
11,Posidonia,58,928
11,Posidonia,56,896
11,Posidonia_Chondrilla,40,640
11,Posidonia_Chondrilla,68,1088
11,Posidonia_Chondrilla,44,704
